city	state	medianage	males	females	total_population	veterans	foreign_born	ave_hh_size	state_abbr	AmericanIndianandAlaskaNative	BlackorAfricanAmerican	HispanicorLatino	Asian	White

Wichita	Kansas	34.6	192354	197601	389955	23978	40270	2.56	KS	8791	52592	65162	25210	305910
Allen	Pennsylvania	33.5	60626	59581	120207	5691	19652	2.67	PA	1076	22304	59176	2670	74187
Danbury	Connecticut	37.3	43435	41227	84662	3752	25675	2.74	CT	1086	8454	25145	7350	55917
Nashville	Tennessee	34.1	314231	340365	654596	27942	88193	2.39	TN	5474	188844	67526	27355	432447
Stamford	Connecticut	35.4	64941	63936	128877	2269	44003	2.7	CT	1416	24329	33197	11013	85620
San Juan	Puerto Rico	41.4	155408	186829	342237	0	0	0.0	PR	4031	0	335559	2452	0
Provo	Utah	23.6	56231	59027	115258	2177	10925	3.28	UT	1916	1062	16668	4104	108471
San Marcos	California	35.4	45246	47688	92934	5189	21558	3.13	CA	821	4447	35164	11519	72061
Escondido	California	33.3	76551	74907	151458	8110	46298	3.27	CA	3151	5631	73793	14398	120781
Caguas	Puerto Rico	40.4	34743	42265	77008	0	0	0.0	PR	624	0	76349	0	0
Lancaster	California	30.9	80668	80445	161113	7892	17247	3.25	CA	2186	36007	57423	8654	110311
Gaithersburg	Maryland	35.7	32211	35234	67445	2126	28133	2.73	MD	672	12482	18721	13169	36639
Lakewood	California	39.9	41523	40069	81592	4094	18274	3.13	CA	398	6123	24987	18999	43766
Elizabeth	New Jersey	34.2	65896	63116	129012	1131	63413	3.18	NJ	797	29822	86456	3369	70873
Westminster	California	42.9	45538	46573	92111	3435	42227	3.27	CA	1022	2270	19111	46560	37593
Chico	California	29.9	46168	44168	90336	4519	8425	2.5	CA	2766	3164	15578	6101	80467
Lincoln	Nebraska	32.3	138544	138802	277346	14694	22958	2.4	NE	4281	16445	20296	15138	246677
Cincinnati	Ohio	32.7	143654	154883	298537	13699	16896	2.08	OH	3362	133430	9121	7633	162245
Pittsburgh	Pennsylvania	32.9	149690	154695	304385	17728	28187	2.13	PA	2689	82248	9266	21227	208863
Jacksonville	North Carolina	24.2	40015	27348	67363	8252	3732	2.51	NC	1741	13253	11947	4204	51245
Kansas City	Missouri	35.9	228430	246931	475361	24710	37787	2.35	MO	5796	147739	46037	17061	296623
Spokane	Washington	36.6	102756	110511	213267	18044	13253	2.34	WA	7192	10045	13365	9059	193143
Fort Worth	Texas	32.6	414126	422843	836969	39182	143404	2.88	TX	7504	167449	296133	42053	575180
Auburn	Washington	37.1	36837	39743	76580	5401	14842	2.73	WA	3042	4032	10836	12341	58293
Surprise	Arizona	39.4	62875	65567	128442	11109	9929	2.9	AZ	1883	9079	25366	3153	115419
College Station	Texas	22.9	54125	53774	107899	2471	16145	2.52	TX	605	11316	17784	10915	84892
Louisville/Jefferson County metro government	Kentucky	37.5	298451	316938	615389	39364	37875	2.45	KY	4585	151256	28712	18601	456451
Spring Valley	Nevada	37.0	96808	97147	193955	10644	61072	2.79	NV	2215	29031	40374	45059	111763
Paradise	Nevada	37.2	122784	114162	236946	14112	66712	2.65	NV	4314	25091	88347	28380	147624
Bossier City	Louisiana	32.7	33428	34669	68097	8108	2980	2.4	LA	630	19520	5589	2175	47454
Passaic	New Jersey	30.4	36505	34577	71082	693	24174	3.56	NJ	0	5230	53680	3338	30352
Yakima	Washington	34.0	45147	48553	93700	4705	15717	2.74	WA	2042	924	44172	2248	79286
Springfield	Illinois	38.8	55639	62170	117809	7525	4264	2.22	IL	1602	25327	2738	3871	90935
Virginia Beach	Virginia	35.4	222684	230061	452745	54995	38360	2.61	VA	4590	99948	36309	38715	324924
Bayonne	New Jersey	39.7	32705	33598	66303	2225	21899	2.62	NJ	0	7581	19525	7171	41431
Columbia	Maryland	37.9	52202	51265	103467	6526	23249	2.68	MD	488	30075	8033	17821	58343
Norman	Oklahoma	30.9	59483	60814	120297	5578	8705	2.47	OK	10801	6620	11732	6539	106409
Lorain	Ohio	35.6	30844	32807	63651	4905	1531	2.52	OH	904	16388	19342	308	46667
Alafaya	Florida	33.5	39504	45760	85264	4176	15842	2.94	FL	0	6577	34897	10336	63666
Federal Way	Washington	36.4	49151	46037	95188	7135	18565	2.68	WA	2396	15495	14049	16026	59035
Cranston	Rhode Island	39.9	38365	42712	81077	4702	10631	2.56	RI	839	8193	10418	5978	64806
Palm Coast	Florida	48.8	39489	42632	82121	7950	9084	2.76	FL	700	10786	8706	2479	67272
Clifton	New Jersey	38.5	41932	44409	86341	2603	27979	3.11	NJ	2417	8743	33176	5840	51516
Joliet	Illinois	33.1	70863	79162	150025	7353	22409	3.13	IL	523	27883	45291	2813	106160
Downey	California	37.3	53006	61205	114211	2281	39977	3.45	CA	535	5498	84806	9776	77220
Grand Prairie	Texas	33.1	90811	96944	187755	7073	44888	3.18	TX	1754	54934	85543	11446	113981
Evansville	Indiana	38.0	57198	60481	117679	9063	3169	2.25	IN	713	17564	3263	1376	100055
Cary	North Carolina	39.9	78932	81582	160514	7426	30008	2.61	NC	1752	15496	10327	25124	119814
Farmington Hills	Michigan	42.1	37527	43805	81332	3650	18033	2.41	MI	313	13483	2052	10759	57815
Napa	California	37.2	39828	40601	80429	4678	18449	2.84	CA	1751	675	33229	3593	57837
Cicero	Illinois	28.5	43153	40714	83867	629	33801	3.89	IL	964	2865	76425	1193	30824
Beaumont	Texas	31.6	57326	60784	118110	7584	10516	2.47	TX	908	58008	18815	4079	53597
Sparks	Nevada	36.1	47780	48318	96098	7315	15690	2.63	NV	2019	4226	29159	7915	78737
Roswell	Georgia	38.8	48637	45859	94496	3325	16501	2.7	GA	585	15458	16920	7240	69857
Boston	Massachusetts	31.8	322149	347320	669469	18350	190123	2.38	MA	5580	189347	130656	69976	378543
Irving	Texas	32.3	117189	119428	236617	6207	86756	2.78	TX	2960	30356	97862	49421	132779
Tracy	California	35.5	43156	43937	87093	3025	25410	3.42	CA	2120	5241	32810	16856	58041
Manchester	New Hampshire	37.3	54845	55378	110223	5473	14506	2.4	NH	558	6896	11962	4304	100108
New Braunfels	Texas	37.0	33071	36852	69923	5204	5405	2.85	TX	648	3471	22522	1610	63789
Town n Country	Florida	38.1	39410	39586	78996	4534	22135	2.61	FL	1622	9575	37944	3347	64441
Henderson	Nevada	42.5	139412	146246	285658	25045	35666	2.55	NV	3036	18816	47154	24931	234301
Elk Grove	California	36.1	80057	86833	166890	7762	38693	3.34	CA	2020	20185	28781	59424	86909
Chula Vista	California	34.6	131485	134269	265754	12368	82710	3.32	CA	1652	15641	156522	48506	183753
Waukesha	Wisconsin	35.8	36263	35713	71976	3116	4982	2.35	WI	481	1923	9713	2904	66757
Salinas	California	30.4	77765	79621	157386	4020	58693	3.72	CA	2855	3391	121196	11227	95283
Racine	Wisconsin	33.7	39314	38423	77737	4650	4403	2.56	WI	1371	20014	18215	1175	52445
Springfield	Massachusetts	31.8	74744	79592	154336	5723	16226	2.81	MA	2087	35284	69209	5606	97171
Lee's Summit	Missouri	36.8	48353	46715	95068	6624	3803	2.68	MO	1251	7100	4504	3013	82915
Billings	Montana	36.3	52705	57565	110270	9121	3206	2.4	MT	6066	2200	7526	1873	102522
Hammond	Indiana	36.0	38923	38687	77610	4144	9224	2.61	IN	1509	20442	25320	1540	41705
Pasadena	California	37.6	67712	74534	142246	4618	40779	2.63	CA	2161	15909	52717	22794	76525
Loveland	Colorado	37.6	37042	38146	75188	5667	3050	2.53	CO	1029	950	13567	1549	71538
Aurora	Colorado	34.2	177899	180971	358870	25158	65816	2.82	CO	8277	61894	109396	24673	239803
Las Vegas	Nevada	37.5	310568	313201	623769	42397	127609	2.79	NV	8456	84987	204913	55745	429142
Newport News	Virginia	32.8	88385	94000	182385	18896	12589	2.46	VA	2201	79245	15780	8275	95151
Shreveport	Louisiana	35.2	93138	103856	196994	14287	5658	2.53	LA	1647	112923	5081	4033	79319
Garden Grove	California	37.8	86779	88605	175384	4316	80677	3.66	CA	1713	1840	66038	71737	66782
Miami Beach	Florida	42.5	48090	44221	92311	2265	49908	2.1	FL	0	4013	47446	2772	72180
Peoria	Arizona	36.9	80139	91103	171242	13019	14260	2.97	AZ	3108	8514	41129	6631	151232
Tempe	Arizona	28.8	91350	84476	175826	7058	26620	2.44	AZ	4636	11293	44404	17338	130346
Wilmington	Delaware	36.4	32680	39277	71957	3063	3336	2.45	DE	414	44182	5516	1193	23743
Sterling Heights	Michigan	39.6	64985	67077	132062	6970	34313	2.66	MI	0	8054	2811	12264	112743
Hialeah	Florida	43.0	111530	125552	237082	1844	170148	3.31	FL	0	5687	227508	1149	219991
Gulfport	Mississippi	35.1	33108	38764	71872	6646	3072	2.54	MS	0	27799	4247	1723	42870
Tuscaloosa	Alabama	29.1	47293	51045	98338	3647	4706	2.67	AL	261	42331	2475	2733	52603
League City	Texas	35.9	49354	48996	98350	6484	8361	2.72	TX	0	4166	14868	8163	86012
Sioux Falls	South Dakota	34.6	86596	84934	171530	8658	12934	2.38	SD	4623	10904	9388	4689	149298
Goodyear	Arizona	38.6	36711	42292	79003	7650	11774	2.97	AZ	1301	8678	21603	5701	63493
Plymouth	Minnesota	38.4	39035	36893	75928	4158	8830	2.46	MN	760	6938	3274	5561	63872
Bakersfield	California	30.6	182154	191473	373627	12284	71575	3.23	CA	7357	34240	180241	31929	272853
Fargo	North Dakota	30.7	60560	58690	119250	6154	9428	2.18	ND	3102	6477	3567	4646	107349
Weston	Florida	38.6	32956	36991	69947	1507	30876	3.34	FL	128	3697	36687	4130	61021
Los Angeles	California	35.0	1958998	2012898	3971896	85417	1485425	2.86	CA	63758	404868	1936732	512999	2177650
Mount Vernon	New York	38.5	31876	36745	68621	2064	23777	2.85	NY	356	49830	9446	1497	13106
Denton	Texas	28.7	62478	68569	131047	6352	18451	2.66	TX	1857	15542	29350	7061	106278
Wilmington	North Carolina	35.5	52346	63601	115947	5908	7401	2.24	NC	742	23578	6811	3152	89270
Concord	North Carolina	35.7	42732	44961	87693	4621	8847	2.72	NC	216	19027	11301	3566	60500
Newark	New Jersey	34.6	138040	143873	281913	5829	86253	2.73	NJ	2268	144961	100432	7349	76402
Peoria	Illinois	33.1	56229	62432	118661	6634	7517	2.4	IL	1343	36333	6874	6989	77074
O'Fallon	Missouri	36.0	41762	43270	85032	5783	3269	2.77	MO	685	5136	2583	3447	77049
Hampton	Virginia	35.5	66214	70240	136454	19638	6204	2.48	VA	2534	70303	7513	4561	61753
Lakewood	Colorado	37.7	76013	76576	152589	9988	14169	2.29	CO	2597	2679	33630	7340	139669
Mesa	Arizona	36.9	234998	236835	471833	31808	57492	2.68	AZ	16044	22699	131425	14608	413010
Bryan	Texas	29.4	41761	40345	82106	3602	12014	2.55	TX	3557	11914	29647	2688	59742
Garland	Texas	34.5	116406	120430	236836	10407	62975	3.12	TX	3083	40507	90989	27217	154484
Flint	Michigan	35.3	48984	49313	98297	3757	2138	2.38	MI	1508	55137	2525	657	44786
Tacoma	Washington	37.7	100914	107036	207950	19040	31863	2.48	WA	5549	30914	25764	26909	149859
Waterbury	Connecticut	36.2	52235	56572	108807	3493	19967	2.71	CT	492	26972	38222	4080	69075
Eagan	Minnesota	36.8	31587	34701	66288	2699	8642	2.49	MN	684	8032	4328	6923	52612
Fort Smith	Arkansas	34.9	43346	44849	88195	3408	13177	2.44	AR	2993	9851	17104	6228	66004
Carmichael	California	41.0	29281	33934	63215	4225	7378	2.39	CA	2603	4675	9291	4205	55862
Daly City	California	39.7	53817	52757	106574	3782	56640	3.26	CA	893	5401	24316	61918	25522
Murrieta	California	35.3	49363	60453	109816	7242	19875	3.3	CA	2327	9259	32944	16041	77700
Brentwood	New York	34.2	31395	32397	63792	1492	27058	4.98	NY	4242	8619	40111	1647	46347
Quincy	Massachusetts	41.0	44129	49500	93629	4147	32935	2.39	MA	351	3917	2566	30473	58723
Boulder	Colorado	29.0	56342	51000	107342	4061	12993	2.24	CO	767	1615	9795	8772	98243
Evanston	Illinois	36.8	34146	41377	75523	2058	15003	2.29	IL	544	11671	9075	8800	54496
Dothan	Alabama	38.9	32172	35364	67536	6334	1699	2.59	AL	656	23243	1704	1175	43516
Antioch	California	34.0	54733	55809	110542	5681	24942	3.31	CA	3462	23227	35563	14333	51151
Madison	Wisconsin	30.7	122596	126360	248956	9707	30090	2.23	WI	2296	20424	19697	23937	204302
Victorville	California	30.6	60989	61247	122236	7484	21959	3.47	CA	5305	26747	60569	7755	86648
